Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
KAINJI,Hydro,Reservoir,Store,NG,760,0.9,7200,15000,66,5472000,1968,,,9.854,4.61,,,
JEBBA,Hydro,Reservoir,Store,NG,578,0.9,1800,3800,42,1040400,1985,,,9.12,4.789,,,
SHIRORO,Hydro,Reservoir,Store,NG,600,0.9,6000,7000,125,3600000,1990,,,9.972,6.836,,,
DADIN KOWA,Hydro,Reservoir,Store,NG,40,0.9,3000,2860,68,120000,1984,,,10.333,11.467,,,
ZUNGERU,Hydro,Reservoir,Store,NG,700,0.9,3600,4000,110,2520000,2022,,,9.8,6.15,,,
EGBIN ST1 - 6,Natural Gas,Steam Turbine,PP,NG,1320,0.35,,,,,1985,,,6.55,3.6,,,
SAPELE,Natural Gas,Steam Turbine,PP,NG,1020,0.3,,,,,1978,,,5.883,5.683,,,
DELTA,Natural Gas,OCGT,PP,NG,900,0.25,,,,,1966,,,5.767,5.717,,,
AFAM IV,Natural Gas,OCGT,PP,NG,726,0.28,,,,,1982,,,4.783,7.067,,,
AFAM III FAST POWER,Natural Gas,OCGT,PP,NG,240,0.32,,,,,2001,,,4.783,7.067,,,
GEREGU GAS,Natural Gas,OCGT,PP,NG,435,0.34,,,,,2007,,,7.5,6.7,,,
OMOTOSHO GAS,Natural Gas,OCGT,PP,NG,336,0.33,,,,,2005,,,6.683,4.783,,,
OLORUNSOGO GAS,Natural Gas,OCGT,PP,NG,336,0.33,,,,,2007,,,6.85,3.367,,,
GEREGU NIPP,Natural Gas,OCGT,PP,NG,434,0.34,,,,,2012,,,7.5,6.7,,,
SAPELE NIPP,Natural Gas,OCGT,PP,NG,450,0.34,,,,,2012,,,5.883,5.683,,,
ALAOJI NIPP,Natural Gas,OCGT,PP,NG,1074,0.34,,,,,2013,,,5.483,7.333,,,
OLORUNSOGO NIPP,Natural Gas,OCGT,PP,NG,675,0.34,,,,,2012,,,6.85,3.367,,,
OMOTOSHO NIPP,Natural Gas,OCGT,PP,NG,450,0.34,,,,,2012,,,6.683,4.783,,,
ODUKPANI NIPP,Natural Gas,OCGT,PP,NG,561,0.34,,,,,2014,,,5.017,8.333,,,
IHOVBOR NIPP,Natural Gas,OCGT,PP,NG,450,0.34,,,,,2012,,,6.333,5.633,,,
AZURA-EDO,Natural Gas,OCGT,PP,NG,461,0.36,,,,,2018,,,6.333,5.633,,,
AFAM VI,Natural Gas,CCGT,PP,NG,624,0.5,,,,,2009,,,4.783,7.067,,,
OKPAI,Natural Gas,CCGT,PP,NG,480,0.48,,,,,2005,,,5.617,6.483,,,
IBOM POWER,Natural Gas,OCGT,PP,NG,190,0.33,,,,,2009,,,5.017,7.867,,,
OMOKU,Natural Gas,OCGT,PP,NG,150,0.3,,,,,2005,,,5.333,6.667,,,
TRANS AMADI,Natural Gas,OCGT,PP,NG,136,0.3,,,,,1999,,,4.8,7.033,,,
RIVERS IPP,Natural Gas,OCGT,PP,NG,180,0.33,,,,,2012,,,4.8,7.033,,,
PARAS ENERGY,Natural Gas,OCGT,PP,NG,459,0.35,,,,,2016,,,6.6,3.1,,,
Taopex ENERGY,Natural Gas,OCGT,PP,NG,45,0.33,,,,,2015,,,4.783,7.067,,,
MEPP,Natural Gas,OCGT,PP,NG,52,0.36,,,,,2023,,,11.833,13.15,,,
