PyPSA Type Name,f_nom (Hz),r_per_length (Ω/km),x_per_length (Ω/km),c_per_length (nF/km),i_nom (kA),mounting,cross_section (mm²),v_nom (kV),s_nom single conductor (MVA),Typical Bundling,s_nom with bundling (MVA),i_nom_source
ACSR Wolf 66.0,50,0.1828,0.39,9,0.47,ol,158.1,66,40.6,1x single,40.6,"M-TEC ACSR Datasheet p.8 — 470 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Panther 132.0,50,0.1363,0.37,9.5,0.56,ol,212.1,132,100.6,1x single,100.6,"M-TEC ACSR Datasheet p.8 — 560 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Bear 132.0,50,0.1093,0.355,10,0.65,ol,264.4,132,117.7,1x single,117.7,"M-TEC ACSR Datasheet p.8 — 650 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Zebra 220.0,50,0.0674,0.315,11.8,0.86,ol,428.9,220,280.1,1x single,280.1,"M-TEC ACSR Datasheet p.10 — 860 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Bison 220.0,50,0.0757,0.32,11.5,0.8,ol,381.7,220,259.1,1x single,259.1,"M-TEC ACSR Datasheet p.10 — 800 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Kingbird 2-bundle 275.0,50,0.0443,0.28,14,1.546,ol,646,275,368.2,2x Kingbird,736.4,Priority Wire & Cable ACSR Datasheet #4020-03 (ASTM B232) — 773 A per conductor @ 75°C/25°C ambient — https://www.prioritywire.com/specs/acsr.pdf — 2-bundle: 773 A x 2 = 1546 A
ACSR Bison 330.0,50,0.0757,0.295,12,0.8,ol,381.7,330,388.7,1x single,388.7,"M-TEC ACSR Datasheet p.10 — 800 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar"
ACSR Zebra 2-bundle 330.0,50,0.0337,0.265,14.5,1.72,ol,857.8,330,420.1,2x Zebra,840.2,"M-TEC ACSR Datasheet p.10 — 860 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 2-bundle: 860 A x 2 = 1720 A"
ACSR Zebra 2-bundle 400.0,50,0.0337,0.26,14.5,1.72,ol,857.8,400,509.2,2x Zebra,1018.4,"M-TEC ACSR Datasheet p.10 — 860 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 2-bundle: 860 A x 2 = 1720 A"
ACSR Tern 3-bundle 400.0,50,0.0236,0.245,16,2.49,ol,1211.4,400,614.5,3x Tern,1843.6,"M-TEC ACSR Datasheet p.9 — 830 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 3-bundle: 830 A x 3 = 2490 A"
ACSR Moose 2-bundle 400.0,50,0.0274,0.255,15,1.96,ol,1057,400,588.9,2x Moose,1177.8,"M-TEC ACSR Datasheet p.10 — 980 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 2-bundle: 980 A x 2 = 1960 A"
ACSR Bersfort 2-bundle 400.0,50,0.0209,0.24,16.5,2.264,ol,1370.8,400,853.6,2x Bersfort,1707.1,"M-TEC ACSR Datasheet p.9 — 1132 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 2-bundle: 1132 A x 2 = 2264 A"
ACSR Bersfort 6-bundle 765.0,50,0.007,0.215,22,6.792,ol,4112.4,765,1632.4,6x Bersfort,9794.5,"M-TEC ACSR Datasheet p.9 — 1132 A per conductor @ 75°C/30°C ambient — M-TEC ACSR Datasheet (A1/S1A), www.m-tec.co.za — conditions: 0.44 m/s wind, 30°C ambient, 75°C conductor, 890 W/m² solar — 6-bundle: 1132 A x 6 = 6792 A"
